source_website,search_url,detail_url,title,project_name,developer,posted_on,price,area,configurations,total_units,ownership,approved_by,rera_registered,location,bhk,property_type,transaction_type,possession_status,description,amenities,agent_or_builder,seller_type
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/vahe-imperial-garden-in-gunjur-bangalore-pjid-45639/,Vahe Imperial Garden,Vahe Imperial Garden,,,75 Lac,,2 BHK Apartment,,,,,"Gunjur, Bangalore",2,Apartment,New Project,Ready to Move,"It offers apartments in varied budget range. These units are a perfect combination of comfort and style, specifically designed to suit your requ...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/inland-orchid-in-yelahanka-new-town-bangalore-pjid-45595/,Inland Orchid,Inland Orchid,,,1.45 Cr.,,3 BHK Apartment,,,,,"Yelahanka New Town, Bangalore",3,Apartment,New Project,Ready to Move,"Introducing INLAND ORCHID, an exclusive residential project by Inland Builders in the prime location of Yelahanka New Town, Bengaluru. With only four ...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/sobha-heritage-in-banashankari-stage-3-bangalore-pjid-45520/,Sobha Heritage,Sobha Heritage,,,89 Lac - 1.39 Cr.,,"2, 3 BHK Apartment",,,,Yes,"Banashankari Stage 3, Bangalore",3,Apartment,New Project,Ready to Move,"Residential project, Sobha Heritage in Bangalore is offering units for sale in RR Nagar. Check out some Apartment that suit your lifestyle and liking....",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/oceanus-white-meadows-by-oceanus-dwellings-pvt-ltd-in-bannerghatta-bangalore-pjid-45542/,Oceanus White Meadows,Oceanus White Meadows,Oceanus Dwellings Pvt. Ltd.,,83.70 Lac - 1.25 Cr.,,"2, 3 BHK Apartment",135,,,Yes,"Bannerghatta, Bangalore",3,Apartment,New Project,Ongoing Projects,Big-Beauty- BannerghattaOceanus White Meadows new residential project its developed by Oceanus Dwellings Pvt. Ltd. & this project located at Banne...,,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/royal-enclave-palms-in-whitefield-bangalore-pjid-45008/,Royal Enclave Palms,Royal Enclave Palms,,,55 - 80 Lac,,"2, 3, 4 BHK Apartment",,,,,"Whitefield, Bangalore",4,Apartment,New Project,Ready to Move,Royal Enclave Palms is beautifully crafted by the renowned builder Signpost Properties Pvt. Ltd.. It is a superb Residential development in Whitefield...,,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/global-edifice-celesta-in-chandapura-bangalore-pjid-45300/,Global Edifice Celesta,Global Edifice Celesta,,,45 Lac,,2 BHK Apartment,,,,Yes,"Chandapura, Bangalore",2,Apartment,New Project,Upcoming Projects,"The Global Edifice Celesta is awe-inspiring in design, opulent in luxury, and surrounded by lush greenery. The purpose of Global Edifice Celesta is to...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/oraiyan-mahasree-residency-in-hosahalli-bangalore-pjid-45436/,Oraiyan Mahasree Residency,Oraiyan Mahasree Residency,,,79 Lac,,Residential Plot,,,,,"Hosahalli, Bangalore",,Plot,New Project,Ready to Move,We are proudly launching Oraiyan Mahashree Residency Villa Plots at Peenya. Oraiyan Mahashree Residency will provide skillfully designed Villa Plots with all necessities.,,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/slv-pragathi-amber-in-phase-2-electronic-city-bangalore-pjid-45371/,Slv Pragathi Amber,Slv Pragathi Amber,,,67.20 - 70 Lac,,"2, 3 BHK Apartment",,,,,"Phase 2, Electronic City, Bangalore",3,Apartment,New Project,Ready to Move,"At Pragathi Amber, we believe this journey begins at home. Inspired by premium design coupled with a contemporary style, Amber is a masterpiece to be ...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/svsg-bliss-in-krishnarajupuram-bangalore-pjid-45162/,Svsg Bliss,Svsg Bliss,,,65 Lac,,2 BHK Apartment,,,,Yes,"Krishnarajupuram, Bangalore",2,Apartment,New Project,Ready to Move,"SVSG Bliss is a budget friendly Project located in KR Puram, East Bangalore and well connected by major road(s) like Old Madras Road. This project has...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/symphony-springs-in-malur-bangalore-pjid-45173/,Symphony Springs,Symphony Springs,,,13.50 - 16 Lac,,Residential Plot,,,,,"Malur, Bangalore",,Plot,New Project,Ready to Move,"Ceepiyaar Symphony Springs in Malur, Bangalore East is a ready-to-move housing society. This project is a perfect combination of comfort and style, sp...",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/shigra-vibha-enclave-in-adarsha-layout-sarjapur-bangalore-pjid-45086/,Shigra Vibha Enclave,Shigra Vibha Enclave,,,83.56 Lac - 1.20 Cr.,,"3, 4 BHK Apartment",,,,,"Adarsha Layout, Sarjapur, Bangalore",4,Apartment,New Project,Ready to Move,"Shigra Vibha Enclave is a residential development in Adarsha Layout, Sarjapur, Bangalore. Shigra Vibha Enclave will provide skillfully designed plots with all necessities.",,,
RealEstateIndia,https://www.realestateindia.com/bangalore-property/new-projects.htm,https://www.realestateindia.com/projects/samruddhi-meadows-by-ds-projects-in-anekal-bangalore-pjid-44318/,SAMRUDDHI MEADOWS,SAMRUDDHI MEADOWS,DS Projects,,24.50 - 44.10 Lac,,Residential Plot,,,,,"Anekal, Bangalore",,Plot,New Project,Ongoing Projects,"Warm greetings. We are happy to inform about our new project ""Samrudhi Meadows "" Gated community Residential Converted Layout Located at Anekal ...",,,
